
======================================================================
RUNNING ALL EXPERIMENTS
Total experiments: 19
Total runs: 1000
Estimated time: ~66.7 minutes (at 4s/run)
======================================================================


######################################################################
# EXPERIMENT: baseline
# Baseline: unmodified airbench94
# Runs: 100
######################################################################


============================================================
Experiment: baseline_ec2132ab
Timestamp: 2025-12-08T21:23:26.463225
Config overrides: None
Number of runs: 100
============================================================

------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.3809  |     0.7324  |   0.7140  |               |              6.7109  |
|          |      1  |      1.2803  |     0.7959  |   0.7483  |               |              7.1119  |
|          |      2  |      1.2139  |     0.8281  |   0.7566  |               |              7.5132  |
|          |      3  |      1.1572  |     0.8643  |   0.7865  |               |              7.8878  |
|          |      4  |      1.1338  |     0.8701  |   0.8268  |               |              8.2544  |
|          |      5  |      1.0732  |     0.9014  |   0.8142  |               |              8.6243  |
|          |      6  |      1.0264  |     0.9268  |   0.8818  |               |              8.9925  |
|          |      7  |      1.0176  |     0.9316  |   0.9030  |               |              9.3603  |
|          |      8  |      0.9639  |     0.9668  |   0.9267  |               |              9.7287  |
|          |      9  |      0.9478  |     0.9775  |   0.9331  |               |             10.0674  |
|          |   eval  |      0.9478  |     0.9775  |   0.9331  |       0.9393  |             10.2314  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.5332  |     0.6211  |   0.6368  |               |              0.4050  |
|          |      1  |      1.2285  |     0.8262  |   0.7950  |               |              0.8060  |
|          |      2  |      1.2100  |     0.8330  |   0.7461  |               |              1.2092  |
|          |      3  |      1.1533  |     0.8545  |   0.8306  |               |              1.5797  |
|          |      4  |      1.1094  |     0.8906  |   0.8556  |               |              1.9476  |
|          |      5  |      1.1025  |     0.8906  |   0.8699  |               |              2.3173  |
|          |      6  |      1.0430  |     0.9238  |   0.8862  |               |              2.6855  |
|          |      7  |      1.0361  |     0.9189  |   0.8903  |               |              3.0531  |
|          |      8  |      0.9614  |     0.9697  |   0.9280  |               |              3.4230  |
|          |      9  |      0.9473  |     0.9717  |   0.9339  |               |              3.7633  |
|          |   eval  |      0.9473  |     0.9717  |   0.9339  |       0.9402  |              3.9273  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4199  |     0.7139  |   0.5440  |               |              0.4057  |
|          |      1  |      1.3008  |     0.7832  |   0.7035  |               |              0.8064  |
|          |      2  |      1.1875  |     0.8486  |   0.7295  |               |              1.2118  |
|          |      3  |      1.1475  |     0.8662  |   0.8087  |               |              1.5807  |
|          |      4  |      1.1318  |     0.8701  |   0.8597  |               |              1.9518  |
|          |      5  |      1.1123  |     0.8740  |   0.8372  |               |              2.3202  |
|          |      6  |      1.0420  |     0.9248  |   0.8820  |               |              2.6892  |
|          |      7  |      1.0225  |     0.9346  |   0.9020  |               |              3.0599  |
|          |      8  |      0.9712  |     0.9629  |   0.9242  |               |              3.4289  |
|          |      9  |      0.9478  |     0.9756  |   0.9335  |               |              3.7691  |
|          |   eval  |      0.9478  |     0.9756  |   0.9335  |       0.9411  |              3.9342  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4033  |     0.7266  |   0.7011  |               |              0.4075  |
|          |      1  |      1.2480  |     0.8115  |   0.7109  |               |              0.8105  |
|          |      2  |      1.2188  |     0.8105  |   0.7910  |               |              1.2136  |
|          |      3  |      1.1631  |     0.8457  |   0.8338  |               |              1.5853  |
|          |      4  |      1.1484  |     0.8613  |   0.8320  |               |              1.9562  |
|          |      5  |      1.1045  |     0.8867  |   0.8430  |               |              2.3271  |
|          |      6  |      1.0479  |     0.9111  |   0.8694  |               |              2.6963  |
|          |      7  |      1.0059  |     0.9463  |   0.9001  |               |              3.0667  |
|          |      8  |      0.9644  |     0.9590  |   0.9245  |               |              3.4368  |
|          |      9  |      0.9355  |     0.9785  |   0.9339  |               |              3.7760  |
